RIN,RateName,DateStart,TimeStart,DateEnd,TimeEnd,DayStart,DayEnd,ValueName,Value,Unit,RateType,Sector
USCA-PGXX-NB25-0000,NBT25,1/5/2027,14:00:00,1/5/2027,14:59:59,2,2,Jan Weekday HS6,0.00099,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,15:00:00,1/5/2027,15:59:59,2,2,Jan Weekday HS7,0.00094,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,16:00:00,1/5/2027,16:59:59,2,2,Jan Weekday HS8,0.00078,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,17:00:00,1/5/2027,17:59:59,2,2,Jan Weekday HS9,0.00070,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,18:00:00,1/5/2027,18:59:59,2,2,Jan Weekday HS10,0.00067,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,19:00:00,1/5/2027,19:59:59,2,2,Jan Weekday HS11,0.00064,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,20:00:00,1/5/2027,20:59:59,2,2,Jan Weekday HS12,0.00064,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,21:00:00,1/5/2027,21:59:59,2,2,Jan Weekday HS13,0.00061,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,22:00:00,1/5/2027,22:59:59,2,2,Jan Weekday HS14,0.00060,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/5/2027,23:00:00,1/5/2027,23:59:59,2,2,Jan Weekday HS15,0.00066,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/6/2027,0:00:00,1/6/2027,00:59:59,2,2,Jan Weekday HS16,0.00086,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/6/2027,1:00:00,1/6/2027,01:59:59,2,2,Jan Weekday HS17,0.00113,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/6/2027,2:00:00,1/6/2027,02:59:59,2,2,Jan Weekday HS18,0.00114,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/6/2027,3:00:00,1/6/2027,03:59:59,2,2,Jan Weekday HS19,0.00104,Export $/kWh,TOU,ALL
USCA-PGXX-NB25-0000,NBT25,1/6/2027,4:00:00,1/6/2027,04:59:59,2,2,Jan Weekday HS20,0.00099,Export $/kWh,TOU,ALL
